player_id,name,hand,height,country,year,max_rank
200781,Edda Buding,R,,FRG,1968,
202512,Lucia Gongora,U,,MEX,1968,
200869,Maria Eugenia Guzman,U,,ECU,1968,
200274,Julie Heldman,R,170.0,USA,1968,
200791,Rosie Reyes,R,,FRA,1968,
200870,Peaches Bartkowicz,U,,USA,1968,
200317,Helga Masthoff,R,,FRG,1968,
200834,Suzana Gesteira,U,,BRA,1968,
200130,Dorothy Whitely,U,,AUS,1968,
200133,Eva Duldig,R,,NED,1968,
200134,Kerry Ballard,U,,AUS,1968,
200137,L Griffiths,U,,AUS,1968,
200139,Lita Liem,L,,INA,1968,
200140,Beryl Jenkins,U,,AUS,1968,
200143,Kathleen Harter,R,,USA,1968,
200144,Margaret Court,R,175.0,AUS,1968,
200146,Cynthia Doerner,R,168.0,AUS,1968,
200148,Marilyn Tesch,U,,AUS,1968,
200150,Evonne Goolagong,R,168.0,AUS,1968,
200152,Gail Sherriff,R,,FRA,1968,
200155,Lexie Kenny,U,,AUS,1968,
200157,Lynne Nette,U,,AUS,1968,
200159,Rosie Casals,R,157.0,USA,1968,
200160,Judy Tegart,R,,AUS,1968,
200162,Judith Salome,U,,NED,1968,
200165,Lany Kaligis,U,,INA,1968,
200166,Patricia Edwards,U,,AUS,1968,
200168,Karen Krantzcke,R,188.0,AUS,1968,
200170,Beverley Rae,U,,AUS,1968,
200173,Kaye Dening,U,,AUS,1968,
200175,Mary Ann Eisel,U,,USA,1968,
200176,Kerry Reid,R,166.0,AUS,1968,
200179,Barbara Hawcroft,R,,AUS,1968,
200180,Astrid Suurbeek,U,158.0,NED,1968,
200183,Elena Subirats,U,,MEX,1968,
200185,Lesley Hunt,R,168.0,AUS,1968,
200186,Yveline Boy,U,,FRA,1968,
200188,Helen Amos,R,,AUS,1968,
200129,Lesley Turner,R,,AUS,1968,
200190,Billie Jean King,R,168.0,USA,1968,
200194,Francoise Durr,R,162.0,FRA,1968,
200158,Carol Sherriff,R,,AUS,1968,
200797,Anne Marie Studer,U,,SUI,1968,
200799,Christiane Spinoza,U,,FRA,1968,
200801,Kora Schediwy,U,,FRG,1968,
200804,Anna Dmitrieva,L,,URS,1968,
200806,Birgitta Lindstrom,U,,FIN,1968,
200808,Laura Rossouw,U,,RSA,1968,
200184,Helen Gourlay,R,166.0,AUS,1968,
200810,Annette Van Zyl,R,180.0,RSA,1968,
200812,Odile De Roubin,U,,FRA,1968,
200813,Ingrid Bentzer,R,,SWE,1968,
200815,Roberta Beltrame,R,,ITA,1968,
200817,Judy Congdon,U,,GBR,1968,
200819,Nicole Niox Chateau,L,,FRA,1968,
200822,Ilse Buding,R,,FRG,1968,
200824,Galina Baksheeva,R,,URS,1968,
200228,Olga Morozova,R,170.0,URS,1968,
200214,Christina Sandberg,R,,SWE,1968,
200829,Nancy Richey,R,160.0,USA,1968,
200830,Chantal Langanay,U,,FRA,1968,
200145,Kerry Harris,R,173.0,AUS,1968,
200832,Daniele Bouteleux,U,,FRA,1968,
200836,Maria Chakarova,U,,BUL,1968,
200838,Janine Mauroy Toffier,U,,FRA,1968,
200839,Ingrid Loeys,U,,BEL,1968,
200193,Ann Jones,L,,GBR,1968,
200779,Maryna Godwin,R,,RSA,1968,
200784,Fay Toyne,U,,AUS,1968,
200785,Vlasta Kodesova,U,,CZE,1968,
200788,Carol Ann Kalogeropoulos,U,,GRE,1968,
200790,Paola Palacios,U,,COL,1968,
200843,Virginia Caceres,U,,PER,1968,
200845,Patricia Walkden,R,,RSA,1968,
200846,Michelle Rodriguez,U,,CHI,1968,
200848,Maria Bueno,R,170.0,BRA,1968,
200849,Francesca Gordigiani,R,,ITA,1968,
212522,Margarita De Zuleta,U,,CHI,1968,
201095,Jennifer Staley,L,,AUS,1968,
200782,Esme Emmanuel,U,,RSA,1968,
200311,Cecilia Martinez,U,,USA,1968,
201097,Marilyn Aschner,L,,USA,1968,
200902,Corinne Molesworth,U,,GBR,1968,
200220,Patti Hogan,R,,USA,1968,
201101,Janice Townsend,U,,GBR,1968,
201103,Pixie Lamm,U,,USA,1968,
200800,Frances Maclennan,U,,GBR,1968,
200818,Faye Urban,R,,CAN,1968,
201107,Nadine Netter,U,,USA,1968,
200897,Heide Orth,R,,GER,1968,
201110,Bernice Carr,U,,RSA,1968,
200860,Kristy Pigeon,L,,USA,1968,
200211,Winnie Shaw,R,,GBR,1968,
201090,Stephanie Defina,L,158.0,USA,1968,
200884,Marijke Jansen,U,,NED,1968,
200877,Helga Schultze,R,,GER,1968,
201092,Joyce Williams,U,,GBR,1968,
200835,Janine Lieffrig,R,,FRA,1968,
201113,Shirley Bloomer,R,,GBR,1968,
201115,Victoria Rogers,U,,USA,1968,
200867,Kerstin Seelbach,U,,FRG,1968,
200151,Ada Bakker,U,,NED,1968,
201102,Alice Tym,R,,USA,1968,
200876,Denise Carter,U,,USA,1968,
201219,Jade Schiffman,U,,USA,1968,
200298,Laura Dupont,R,,USA,1968,
201226,Maricaye Christenson,U,,USA,1968,
201106,Betty Pratt,U,,USA,1968,
201131,Patricia Cody,U,,USA,1968,
200237,Virginia Wade,R,170.0,GBR,1968,
200866,Linda Tuero,R,163.0,USA,1968,
201231,Raymonde Veber,U,,USA,1968,
200879,Wendy Overton,U,,USA,1968,
201234,Pat Stewart,R,173.0,USA,1968,
201116,Maria Teresa Riedl,R,,ITA,1968,
201104,Lidy Venneboer,U,,NED,1968,
200859,Danuta Wieczorek,U,,POL,1968,
212489,Barbara Olszewska,U,,POL,1968,
201091,Christine Truman,R,,GBR,1968,
200850,Monique Salfati,R,,ITA,1968,
200783,Jitka Horcickova,U,,TCH,1968,
200862,Valerie Ziegenfuss,R,173.0,USA,1968,
223699,Susan Morgan,U,,GBR,1968,
223659,Heather Allen,U,,GBR,1968,
201121,Sue Tutt,U,,GBR,1968,
200901,Nell Truman,R,,GBR,1968,
201112,Wendy Hall,U,,GBR,1968,
201125,Elizabeth Ernest,U,,GBR,1968,
200842,Evelyne Terras,U,,FRA,1968,
201117,Margaret Harris,R,,AUS,1968,
200874,Jill Cooper,U,,GBR,1968,
223762,E Bryan,U,,IRL,1968,
200855,Erzsebet Polgar,U,,HUN,1968,
200251,Kazuko Sawamatsu,U,174.0,JPN,1968,
223930,Jacqueline Venturino,U,,FRA,1968,
200887,Trudy Groenman,L,,NED,1968,
200882,Alena Palmeova West,U,,TCH,1968,
200283,Pam Teeguarden,R,178.0,USA,1968,
202174,Cynthia Ann Thomas,U,,USA,1968,
200951,Mary Struthers,U,,USA,1968,
224039,Janie Freeman,U,,USA,1968,
201098,Mimi Wheeler,U,155.0,USA,1968,
201236,Darlene Hard,R,170.0,USA,1968,
201126,Carole Graebner,R,,USA,1968,
200803,Raquel Giscafre,U,,ARG,1968,
201119,Graciela Moran,U,,ARG,1968,
200925,Beatriz Araujo,U,,ARG,1968,
200787,Fiorella Bonicelli,R,170.0,URU,1968,
200164,Joan Johnson,U,,USA,1968,
223904,Brenda Jenkins,U,,AUS,1968,
200233,Chris Matison,R,,AUS,1968,
200149,Helen Sheedy,U,,AUS,1968,
224055,Roberta Zimman,U,,USA,1968,
224056,Mary Fuller,U,,USA,1968,
200886,Becky Vest,U,,USA,1968,
212593,Glenda Swan,U,,RSA,1968,
223912,Anne Papenfus,U,,RSA,1968,
200789,Lea Pericoli,U,,ITA,1968,
224062,S Harvey,U,,RSA,1968,
200868,Brenda Kirk,U,,RSA,1968,
223924,Sylvia Stott,U,,RSA,1968,
224064,J Hennessy,U,,RSA,1968,
223813,Christine Bell,U,,RSA,1968,
200857,Wendy Tomlinson,U,,RSA,1968,
201099,Jean Forbes,U,,RSA,1968,
224065,Marie Fourie,U,,RSA,1968,
223915,Anne Mcalpine,U,,GBR,1968,
201122,Anita Van Deventer,U,,RSA,1968,
200823,Eva Lundquist,U,,SWE,1968,
224068,Jocelyn Davie,U,,RSA,1968,
200793,Mabel Vrancovich,U,,ARG,1968,
224073,M Polli,U,,ITA,1968,
200807,Ulla Sandulf,L,,SWE,1968,
200821,Monica Giorgi,U,,ITA,1968,
224077,Mariana Ciogolea,U,,ROU,1968,
201094,Lucia Bassi,U,,ITA,1968,
223708,Nora Davies,U,,GBR,1968,
201114,Robin Lloyd,U,,GBR,1968,
200871,Tory Ann Fretz,R,,USA,1968,
201218,Tish Adams,U,,USA,1968,
200286,Peggy Michel,R,,USA,1968,
200968,Betty Ann Grubb,R,175.0,USA,1968,
201225,Tina Lyman,U,,USA,1968,
201239,Emilie Burrer,U,,USA,1968,
201138,Tam Oshaughnessy,U,,USA,1968,
201221,Emily Fisher,U,,USA,1968,
223687,Susan Prysor Jones,U,,GBR,1968,
223688,Esme Laing,U,,GBR,1968,
223851,Lesley Wellerman,U,,GBR,1968,
201139,Vicky Berner,U,,CAN,1968,
224001,Marilyn Bevan,U,,GBR,1968,
201093,Alex Cowie,U,,GBR,1968,
223932,Lorna Cornell,U,,GBR,1968,
201109,Vera Roberts,U,,GBR,1968,
212620,Louise Brown,U,168.0,CAN,1968,
212640,Benita Senn,U,,CAN,1968,
212451,Susan Butt,U,,CAN,1968,
201134,Andree Martin,U,,CAN,1968,
201128,Jane Ohara,U,,CAN,1968,
201217,Peggy Moore,U,,USA,1968,
201127,Gail Hansen,U,,USA,1968,
223529,Andrea Voikos,U,,USA,1968,
201227,Roylee Bailey,U,,USA,1968,
201216,Marjorie Gengler,U,,USA,1968,
200921,Patricia Reese,R,,USA,1968,
201237,Pam Richmond,R,154.0,USA,1968,
201133,Eliza Pande,R,,USA,1968,
200223,Sharon Walsh Pete,R,174.0,USA,1968,
200875,Pamela Austin,U,,USA,1968,
200358,Marcie Louie,R,,USA,1968,
201214,Farel Footman,U,,USA,1968,
223933,Anthea Rigby,U,,GBR,1968,
200917,Veronica Burton,U,,GBR,1968,
224126,Helen Retter,U,,GBR,1968,
200215,Susan Alexander,R,,AUS,1968,
201240,Margaret Cooper,U,,USA,1968,
203723,Vera Lucia Giugni,U,,BRA,1968,
228196,Irma Lesser,U,,USA,1968,
200892,Aleksandra Ivanova,U,,URS,1968,
201129,Marilyn Pryde,R,,NZL,1968,
201118,Tine Zwaan,R,,NED,1968,
228113,Betty Smith,U,,USA,1968,
224076,Maria Cristina Diaz,U,,BRA,1968,
223866,Carol Gfroerer,U,,USA,1968,
228114,Susan Parkhurst,U,,USA,1968,
223908,Patsy Stevens,U,,NZL,1968,
216623,Beverley Vercoe,U,,NZL,1968,
200263,Janet Newberry,R,170.0,USA,1968,
201123,Stephanie Grant,U,173.0,USA,1968,
226481,Marilyn Joseph,U,,USA,1968,
223942,Nicole Hesse Cazaux,U,,FRA,1968,
200809,Johanne Venturino,U,,FRA,1968,
228116,Francoise Forgerit,U,,FRA,1968,
228117,M Montlibert,U,,FRA,1968,
200204,Sandra Walsham,U,,AUS,1968,
224024,Elizabeth Fenton,U,,AUS,1968,
200141,Wendy Gilchrist,L,,AUS,1968,
200361,Marie Pinterova,R,175.0,HUN,1968,
228118, Cornish,U,,GER,1968,
224079,Renate Breuer,U,,GER,1968,
200759,Katja Ebbinghaus,R,173.0,FRG,1968,
223855,Amelie Hacks,U,,GER,1968,
200881,Edith Winkens,U,,FRG,1968,
200252,Monique Van Haver,U,,BEL,1968,
201100,Christiane Mercelis,R,,BEL,1968,
212452,Almut Sturm,R,,GER,1968,
200854,Maria Teresa Nasuelli,R,,ITA,1968,
223823,Graziella Perna,U,,ITA,1968,
224159,Brigitte Hoffmann,U,,GER,1968,
200780,Irena Skulj,U,,YUG,1968,
203710,Maria Teresa Salvidea Diaz,U,,MEX,1968,
200796,Sally Holdsworth,U,,GBR,1968,
